entry_time,target_pct,stop_pct,max_hold_days,cohort,scenario,sample_size_valid,sample_size_invalid,win_rate,stop_rate,timeout_rate,expected_value,median_return,max_losing_streak
09:45,0.2,-0.2,1,HEDGE_HIGH_ATR,Base,5,3,0.2,0.4,0.4,-0.10684095860566445,-0.1999999999999999,3
09:45,0.2,-0.2,1,HEDGE_HIGH_ATR,Optimistic,5,3,0.2,0.4,0.4,-0.10017777777777778,-0.19999999999999996,3
09:45,0.2,-0.2,1,HEDGE_HIGH_ATR,Stress,5,3,0.2,0.4,0.4,-0.1572511871854268,-0.20748299319727886,3
09:45,0.2,-0.2,1,HEDGE_HIGH_RR,Base,23,5,0.08695652173913043,0.30434782608695654,0.6086956521739131,-0.04163616560149886,-0.11255021886430426,5
09:45,0.2,-0.2,1,HEDGE_HIGH_RR,Optimistic,23,5,0.08695652173913043,0.30434782608695654,0.6086956521739131,-0.029425410652659256,-0.09480122324159025,5
09:45,0.2,-0.2,1,HEDGE_HIGH_RR,Stress,23,5,0.043478260869565216,0.391304347826087,0.5652173913043478,-0.11362044054473266,-0.20561092654115923,6
09:45,0.2,-0.2,1,SCORE_GTE_2,Base,34,13,0.08823529411764706,0.35294117647058826,0.5588235294117647,-0.05323766703396265,-0.13876961442884367,5
09:45,0.2,-0.2,1,SCORE_GTE_2,Optimistic,34,13,0.08823529411764706,0.35294117647058826,0.5588235294117647,-0.04206712625699483,-0.12154500671742052,5
09:45,0.2,-0.2,1,SCORE_GTE_2,Stress,34,13,0.058823529411764705,0.4117647058823529,0.5294117647058824,-0.11922859376106754,-0.2060873165524329,6
09:45,0.2,-0.2,2,HEDGE_HIGH_ATR,Base,5,3,0.2,0.6,0.2,-0.06213507625272326,-0.1999999999999999,3
09:45,0.2,-0.2,2,HEDGE_HIGH_ATR,Optimistic,5,3,0.2,0.6,0.2,-0.0577777777777778,-0.19999999999999996,3
09:45,0.2,-0.2,2,HEDGE_HIGH_ATR,Stress,5,3,0.2,0.6,0.2,-0.15165118718542675,-0.20748299319727886,3
09:45,0.2,-0.2,2,HEDGE_HIGH_RR,Base,23,5,0.2608695652173913,0.43478260869565216,0.30434782608695654,-0.018470386683817844,-0.10873440285205001,4
